rank,time,date,name,position,DOB,venue,nationality 
1325,17:01.37,16 MAY 2014,Lindsay GABOW,8f1,,Princeton (USA),USA
1325,17:01.37,30 MAY 2014,Yongbo ZHANG,1f2,13 FEB 1991,Kunshan (CHN),CHN
1327,17:01.47,11 APR 2014,Lineida MATEUS,2,14 AUG 1986,Ponce (PUR),COL
1328,17:01.52,11 APR 2014,Susan Rachel GIVENS,2,,Tuscaloosa (USA),USA
1329,17:01.61,20 JUL 2014,Elena Adelina PANAET,3,05 JUN 1993,Pitesti (ROU),ROU
1330,17:01.67,17 MAY 2014,Katie HIRKO,3,09 JUN 1994,Jacksonville (USA),USA
1331,17:01.70,18 APR 2014,Chelsey SERRANO,2f2,,Princeton (USA),USA
1332,17:01.71,02 MAY 2014,Lucy YOUNG,4,21 NOV 1995,Harrisonburg (USA),AUS
1333,17:01.73,06 JUN 2014,Coline RICARD,5,1986,Regensburg (GER),GER
1334,17:01.74,15 JUN 2014,Carmela CARDAMA,1,04 DEC 1996,Pontevedra (ESP),ESP
1335,17:01.75,16 MAY 2014,Lauren MULLINS,9f1,30 MAR 1994,Princeton (USA),USA
1335,17:01.75,06 JUL 2014,Audrey BELF,1,28 DEC 1996,Eugene (USA),USA
1337,17:01.85,18 APR 2014,Jasmine REDMAN,23f2,,Walnut (USA),USA
1338,17:01.89,10 MAY 2014,Mackenzie LANDA,11f1,,Eagle Rock (USA),USA
1339,17:02.00,13 MAY 2014,Gladys CHEMWENO,3,04 JUL 1988,Nairobi (KEN),KEN
1339,17:02.00,25 MAY 2014,Iona LAKE,1,15 JAN 1993,Norwich (GBR),GBR
1341,17:02.08,23 MAR 2014,Arantza HERNANDEZ,10,06 JUN 1995,Monterrey (MEX),MEX
1341,17:02.08,24 APR 2014,Ashley MURPHY,18,,Philadelphia (USA),USA
1343,17:02.18,04 JUN 2014,Natalya STARKOVA,1,08 NOV 1987,Chelyabinsk (RUS),RUS
1344,17:02.25,30 JUN 2014,Kate NIEHAUS,4,01 AUG 1988,Cambridge (GBR),USA
1345,17:02.28,04 JUN 2014,Nilay ESEN,3,03 JAN 1987,Izmir (TUR),TUR
1346,17:02.29,18 JUN 2014,Martina FACCIANI,3,26 MAY 1985,Serravalle (ITA),ITA
1347,17:02.32,18 APR 2014,Karlee SCHWARTZKOPF,2f1,,Azusa (USA),USA
1348,17:02.45,28 MAR 2014,Megan SALOOM,2f1,1988,Houston (USA),USA
1349,17:02.49,04 APR 2014,Carina MENDOZA,12f1,,San Francisco (USA),USA
1350,17:02.58,29 JUL 2014,Martyna ADAMCZYK,10,31 JAN 1992,Szczecin (POL),POL
1351,17:02.60,06 JUL 2014,Beatriz &#193;LVAREZ,2,16 DEC 1994,Durango (ESP),ESP
1352,17:02.62,03 SEP 2014,Sevilay EYTEMİŞ AĞRI,2,03 APR 1993,Ankara (TUR),TUR
1353,17:02.69,12 MAY 2014,Jillian PRENTICE,1f1,24 MAR 1992,Swarthmore (USA),USA
1354,17:02.71,18 APR 2014,Fabiola PEREZ IGARI,24f2,08 OCT 1988,Walnut (USA),MEX
1355,17:02.73,04 APR 2014,Megan JANEZIC,13f1,,San Francisco (USA),USA
1356,17:02.82,05 MAY 2014,En-Young KIM,5,09 OCT 1994,Kimchun (KOR),KOR
1357,17:02.88,25 JUN 2014,Ko-Eun YEUM,6,,Kimchun (KOR),KOR
1357,17:02.88,03 SEP 2014,Dudu KARAKAYA,3,11 NOV 1985,Ankara (TUR),TUR
1359,17:02.90,12 APR 2014,Nancy Jebet LANGAT,8,22 AUG 1981,Kisii (KEN),KEN
1360,17:03.00,15 JUN 2014,Isadora CASTELLANI,1,1986,Marcon (ITA),ITA
1361,17:03.08,12 APR 2014,Jenny DELSIGNORE,8,,Lewisburg (USA),USA
1362,17:03.09,04 APR 2014,Chloe BERLIOUX,22f3,27 NOV 1992,Palo Alto (USA),USA
1363,17:03.10,28 MAY 2014,Leydi CURASI,1,20 AUG 1995,Coquimbo (CHI),PER
1363,17:03.10,19 SEP 2014,Gloria BARALE,6,25 APR 1985,Milano (ITA),ITA
1365,17:03.17,12 JUL 2014,Meghan HEUER,1,02 JUN 1992,Tacoma (USA),FRA
1366,17:03.44,27 JUL 2014,C&#225;tia SANTOS LEIT&#195;O,7,09 JAN 1992,Lisboa (POR),POR
1367,17:03.52,23 AUG 2014,Petra KAM&#205;NKOV&#193;,1,19 JAN 1973,Breclav (CZE),CZE
1368,17:03.55,24 APR 2014,Amanda TOMLIN,19,,Philadelphia (USA),USA
1369,17:03.64,25 APR 2014,Alana O&#39;MARA,14,,Hillsdale (USA),USA
1370,17:03.71,22 MAR 2014,Jamie STOKES,1,01 APR 1994,Las Vegas (USA),USA
1371,17:03.95,14 JUN 2014,Linda BETZLER,6,1992,Wesel (GER),GER
1372,17:03.99,04 APR 2014,Andrea KEKLAK,11f1,01 OCT 1993,Williamsburg (USA),USA
1373,17:04.03,20 JUN 2014,Anais BOURGEIX,11,05 MAY 1992,Carquefou (FRA),FRA
1374,17:04.06,04 APR 2014,Alyssa DIAZ,10,,Gainesville (USA),USA
1375,17:04.09,16 MAY 2014,Emily FRITH,1,,Louisville (USA),USA
1376,17:04.12,04 APR 2014,Gina PALETTA,18f4,30 AUG 1990,Palo Alto (USA),GBR
1377,17:04.17,18 MAY 2014,Brandi KRIEG,4,,Houston (USA),USA
1378,17:04.20,18 APR 2014,Jenna DAVIDNER,22f1,,Princeton (USA),USA
1379,17:04.23,03 AUG 2014,Ronja FJELLNER,8,22 SEP 1989,Umea (SWE),SWE
1380,17:04.30,24 APR 2014,Laura Esther GALV&#193;N RODR&#205;GUEZ,20,05 OCT 1991,Des Moines (USA),MEX
1381,17:04.40,19 APR 2014,Kellie GREENWOOD,7,,Norwalk (USA),USA
1382,17:04.41,06 JUN 2014,Sandra ELTSCHKNER,6,1987,Regensburg (GER),GER
1383,17:04.48,02 NOV 2014,Monika ATHARE,4,26 MAR 1992,New Delhi (IND),IND
1384,17:04.56,05 APR 2014,Rie KAWAUCHI,19f1,15 MAR 1995,Kumamoto (JPN),JPN
1385,17:04.58,19 APR 2014,Alyson COUGHLIN,1,,Norwalk (USA),USA
1385,17:04.58,14 JUN 2014,Christie FOSTER,3,,"Portland, OR (USA)",USA
1387,17:04.60,19 APR 2014,Elizabeth KIBLINGER,8,,Norwalk (USA),USA
1388,17:04.64,27 MAR 2014,Karis JOCHEN,3,,Austin (USA),USA
1389,17:04.66,22 AUG 2014,Live SOLHEIMDAL,4,23 SEP 1996,Jessheim (NOR),NOR
1390,17:04.77,11 MAY 2014,Cristina ARTUSO,2,04 JUN 1978,Pontedera (ITA),ITA
1391,17:04.82,02 MAY 2014,Christine RAMSEY,1,13 NOV 1982,Landover (USA),USA
1392,17:04.90,24 MAY 2014,Valdilene DOS SANTOS SILVA,3,18 DEC 1991,Praia Grande (BRA),BRA
1393,17:04.93,19 APR 2014,Kayla GAGNON,2,,Norwalk (USA),USA
1394,17:04.99,18 APR 2014,Haley SPARKS,8f3,,Walnut (USA),USA
1395,17:05.00,16 MAY 2014,Rebecca YEP,12f1,,Princeton (USA),USA
1395,17:05.00,12 JUN 2014,Zhiling ZHENG,6,25 DEC 1996,Taipei (TPE),CHN
1397,17:05.06,04 APR 2014,Sarah JOHNSON,2f2,,San Francisco (USA),USA
1398,17:05.08,11 MAY 2014,Emily STARK,7,09 SEP 1993,New Haven (USA),USA
1398,17:05.08,15 NOV 2014,Kaho SASAKI,36f1,,Yokohama (JPN),JPN
1400,17:05.09,12 APR 2014,Lisa GROHN,9,,Lewisburg (USA),USA
1401,17:05.21,23 MAR 2014,Angelica ESPINOZA,12,14 APR 1988,Monterrey (MEX),MEX
1402,17:05.22,17 MAY 2014,Rebecca MOORE,1f1,07 OCT 1991,Oxford (GBR),GBR
1403,17:05.39,04 APR 2014,Alexandra CLINTON,7f1,,Princeton (USA),USA
1404,17:05.40,25 JUN 2014,Ji-Eun KIM,7,16 JUN 1992,Kimchun (KOR),KOR
1405,17:05.64,14 JUN 2014,Luisa BOSCHAN,8,1993,Wesel (GER),GER
1406,17:05.66,05 APR 2014,Mel NEWBERY,6,28 AUG 1991,Eugene (USA),GBR
1407,17:05.69,19 APR 2014,Jennifer NORMINTON,3,1983,Norwalk (USA),USA
1408,17:05.71,18 APR 2014,Berenice PENALOZA,9f3,,Walnut (USA),USA
1409,17:05.85,31 MAY 2014,Helen Daniela BALTAZAR,9,08 SEP 1993,Barranco (PER),BOL
1410,17:05.92,18 APR 2014,Brittnie MUNOZ,25f2,,Walnut (USA),USA
1411,17:05.95,12 APR 2014,Krista PARKS,11,,Lewisburg (USA),USA
1412,17:05.97,17 MAY 2014,Sonia FERNANDES,2,03 MAY 1983,Lisboa (POR),POR
1413,17:05.98,25 JUL 2014,Mirja MOSER-JENNI,3,10 APR 1976,Frauenfeld (SUI),SUI
1414,17:06.00,14 JUN 2014,Erika OLIVEIRA LIMA,2,13 AUG 1993,Sao Paulo (BRA),BRA
1415,17:06.01,04 APR 2014,Megan BARRY,12f1,,Williamsburg (USA),USA
1416,17:06.04,28 MAR 2014,Gina SERENO,1f3,16 JUN 1995,Raleigh (USA),USA
1417,17:06.19,04 APR 2014,Kaitlin CAGLE,11,,Gainesville (USA),USA
1417,17:06.19,11 APR 2014,Kayleigh SKINNER,3,,Tuscaloosa (USA),USA
1417,17:06.19,13 JUL 2014,Yanfei WANG,12f1,30 JUN 1993,Jinan (CHN),CHN
1420,17:06.27,15 AUG 2014,Margarita HERNANDEZ FLORES,2,03 DEC 1985,Ciudad de M&#233;xico (MEX),MEX
1421,17:06.30,10 MAY 2014,Paige SZABAT,15,,Charlottesville (USA),USA
1422,17:06.35,24 NOV 2014,Gabrielle GRAY,7,11 JAN 1996,Chiba (JPN),NZL
1423,17:06.36,25 APR 2014,Kelsey MCALPINE,15,,Hillsdale (USA),USA
1424,17:06.46,10 MAY 2014,Sydney SCOTT,16,21 JUL 1994,Charlottesville (USA),USA
1425,17:06.47,02 MAY 2014,Katrina STEENKAMER,5,,Harrisonburg (USA),USA
1426,17:06.51,11 JUN 2014,Natalie FARROW,1,23 APR 1984,Uxbridge (GBR),GBR
1426,17:06.51,13 JUL 2014,Xia HOU,7f2,05 JAN 1994,Jinan (CHN),CHN
1428,17:06.63,31 AUG 2014,Katarzyna RUTKOWSKA,1,14 JAN 1994,Inowroclaw (POL),POL
1429,17:06.83,02 MAY 2014,Jordan O&#39;DEA,6,29 DEC 1993,Harrisonburg (USA),USA
1430,17:06.89,28 MAR 2014,Shannon MORTON,2f3,10 JUL 1993,Raleigh (USA),USA
1431,17:07.04,18 APR 2014,Jessica ALBERS,10f3,17 JUN 1992,Walnut (USA),USA
1432,17:07.17,14 JUN 2014,Julia FRITZ,9,1994,Wesel (GER),GER
1433,17:07.21,18 APR 2014,Jamie SHANNON,1,,La Crosse (USA),USA
1434,17:07.23,16 MAY 2014,Michelle CAPOZZI,13f1,,Princeton (USA),USA
1435,17:07.24,18 APR 2014,Anna MARSHALL,11f3,,Walnut (USA),USA
1436,17:07.33,04 APR 2014,Jane RICARDI,19f4,,Palo Alto (USA),USA
1437,17:07.43,17 MAY 2014,Lada NOV&#193;KOV&#193;,3,28 MAY 1993,Kladno (CZE),CZE
1438,17:07.71,22 JUN 2014,Sladana PERUNOVIC,2,26 MAR 1984,Tbilisi (GEO),MNE
1439,17:07.77,17 MAY 2014,Martina WINTER-BRUNEDER,1,24 DEC 1975,Gmunden (AUT),AUT
1440,17:07.79,03 MAY 2014,Antonia HEHR,5,28 JUN 1996,Aichach (GER),GER
1440,17:07.79,11 MAY 2014,Sonia RUFFINI,3,1992,Pontedera (ITA),ITA
1442,17:07.90,29 MAR 2014,Kimber MATTOX,3,,Salem (USA),USA
1443,17:07.92,14 JUN 2014,Aundrea BUSSE,1f1,,Greensboro (USA),USA
1444,17:08.00,19 APR 2014,Rexi PARCELLS,11,24 MAR 1993,Norwalk (USA),USA
1444,17:08.00,14 JUL 2014,Luiza LITVINOVA,3,04 JAN 1993,Saransk (RUS),RUS
1446,17:08.05,18 APR 2014,Kiera HARRISON,24f1,,Princeton (USA),USA
1447,17:08.10,29 JUN 2014,Emilie JACQUOT,1,27 MAR 1985,Albi (FRA),FRA
1448,17:08.27,27 APR 2014,Panagiota VLACHAKI,1,1991,Athina (GRE),GRE
1449,17:08.41,24 APR 2014,Abby FLOCK,20,,Philadelphia (USA),USA
1450,17:08.52,18 APR 2014,Yesenia SILVA,13f3,,Walnut (USA),USA
1451,17:08.55,03 MAY 2014,Miriam DATTKE,6,24 JUN 1998,Aichach (GER),GER
1452,17:08.57,28 MAR 2014,Shannon PAYNE,1,,San Diego (USA),USA
1453,17:08.59,17 JUN 2014,Olga NIKOLAYEVA,1,19 AUG 1995,Cheboksary (RUS),RUS
1454,17:08.64,18 MAY 2014,Nicole HILTON,18,,West Lafayette (USA),USA
1455,17:08.65,19 APR 2014,Beth WRIGHT,20,,Chapel Hill (USA),USA
1455,17:08.65,31 MAY 2014,Erika KEMP,22h2,26 JAN 1995,Jacksonville (USA),USA
1457,17:08.71,15 JUL 2014,Hanna JANTUNEN,1,11 JUN 1977,Nurmij&#228;rvi (FIN),FIN
1458,17:08.84,18 APR 2014,Christina ARGUETA,3f2,,Princeton (USA),USA
1458,17:08.84,25 JUN 2014,Soon-Im BAEK,8,1993,Kimchun (KOR),KOR
1460,17:08.95,04 APR 2014,Mary REISER,12,,Gainesville (USA),USA
1461,17:08.96,11 APR 2014,Casey MCDERMOTT,2,19 MAY 1989,Des Moines (USA),USA
1461,17:08.96,11 JUN 2014,Meredith BORTOLAMEOLLI,1,27 FEB 1987,St-Maur (FRA),FRA
1463,17:09.07,09 MAY 2014,Audrey GOULD,2,,Westfield (USA),USA
1463,17:09.07,18 MAY 2014,Jenny DESOUCHET,18,,Pullman (USA),USA
1465,17:09.15,11 MAY 2014,Emma QUAGLIA,1,15 AUG 1980,Imperia (ITA),ITA
1466,17:09.17,16 MAY 2014,Valentina TALEVI,14f1,1992,Princeton (USA),ITA
1467,17:09.20,27 JUL 2014,Maria PARDALOU,8,21 APR 1984,Pitesti (ROU),GRE
1468,17:09.28,19 APR 2014,Kathleen DARLING,21,,Chapel Hill (USA),USA
1469,17:09.35,14 JUN 2014,Lauren BRASURE,7f2,14 FEB 1996,Greensboro (USA),USA
1470,17:09.40,26 JUL 2014,Anne WALLEBOHR,15,1987,Ulm (GER),GER
1471,17:09.48,04 APR 2014,Bridget END,10f1,,Princeton (USA),USA
1472,17:09.50,03 MAY 2014,Matea PARLOV,1,02 JUN 1992,Zagreb (CRO),CRO
1473,17:09.50,16 MAY 2014,Katie TOWNSEND,3,,Atlanta (USA),USA
1473,17:09.50,07 JUN 2014,Molly ROUILLARD,,,Boston (USA),USA
1473,17:09.50,03 AUG 2014,Alisa VAINIO,8,16 NOV 1997,Kuopio (FIN),FIN
1476,17:09.53,22 JUN 2014,Caroline LAMBERT,8,02 SEP 1993,Bedford (GBR),GBR
1477,17:09.80,23 MAR 2014,Cristina MUNIZ,14,1989,Monterrey (MEX),MEX
1477,17:09.80,10 MAY 2014,Chloe TRELEVEN,1,,Seattle (USA),USA
1479,17:09.83,29 MAR 2014,Camelia MAYFIELD,4,,Salem (USA),USA
1479,17:09.83,04 APR 2014,Callie HOGAN,11f1,17 AUG 1989,Princeton (USA),USA
1481,17:10.03,09 MAR 2014,Jaciane BARROSO ARA&#218;JO,3,03 JUL 1987,Sao Paulo (BRA),BRA
1481,17:10.03,03 AUG 2014,Cecilia KLEIST,9,1982,Umea (SWE),SWE
1483,17:10.06,04 APR 2014,Hannah STEFANOFF,13,25 MAY 1993,Gainesville (USA),USA
1484,17:10.28,28 MAR 2014,Katie OLLIER,3f3,,Raleigh (USA),USA
1485,17:10.35,19 SEP 2014,Laura BOTTINI,8,20 MAY 1991,Milano (ITA),ITA
1486,17:10.36,22 JUN 2014,Claire DEVOE,9,,Bedford (GBR),USA
1487,17:10.38,04 APR 2014,Sara MIKESELL,14f1,,San Francisco (USA),USA
1488,17:10.42,29 MAR 2014,Michaela FREEBY,5,,Salem (USA),USA
1489,17:10.43,02 MAY 2014,Meredith SPEAKMAN,1,,Ithaca (USA),USA
1490,17:10.64,21 MAR 2014,Michelle POTTER,4,,Los Angeles (USA),USA
1491,17:10.68,17 JUL 2014,Hyun-Ok LEE,1,,Yeosu (KOR),KOR
1492,17:10.70,27 NOV 2014,Virginia MOLONEY,1,06 MAY 1990,Melbourne (AUS),AUS
1493,17:10.72,18 MAY 2014,Kaitlin FLATTMANN,17,03 MAR 1993,"Lexington, KY (USA)",USA
1494,17:10.75,16 AUG 2014,Patricia LEMOS DA SILVA,1,25 JUN 1994,Sao Paulo (BRA),BRA
1495,17:10.78,09 MAY 2014,Elizabeth HUTCHINS,3,,Westfield (USA),USA
1496,17:10.82,14 SEP 2014,Anissa BADIS,5,12 MAR 1987,Sz&#233;kesfeh&#233;rv&#225;r (HUN),HUN
1497,17:10.86,15 MAR 2014,Sheri MCCORMACK,3,,Memphis (USA),USA
1498,17:10.90,07 FEB 2014,Gillian BACKHOUSE,2,20 JUN 1991,Brisbane (AUS),AUS
1499,17:11.10,11 APR 2014,Breanna SIERACKI,3,05 AUG 1995,Des Moines (USA),USA
1500,17:11.15,04 APR 2014,Emma BOLDUC,15f1,12 MAY 1993,San Francisco (USA),USA
1501,17:11.20,04 APR 2014,Molly WILLIAMS,23f3,,Palo Alto (USA),USA
1502,17:11.21,12 JUL 2014,Mar&#237;a Elena MORENO,3,14 MAR 1979,Alcorc&#243;n (ESP),ESP
1503,17:11.30,15 MAR 2014,Shannon HARCUS,2,,Davis (USA),USA
1503,17:11.30,30 OCT 2014,Mi-Young SHIM,6,1991,Jeonju (KOR),KOR
1505,17:11.32,18 MAY 2014,Clara LANGLEY,5,28 NOV 1994,Houston (USA),CAN
1506,17:11.47,03 AUG 2014,Louise WIKER,10,1979,Umea (SWE),SWE
1507,17:11.51,21 MAR 2014,Linsey DALUGA,5,28 NOV 1990,Los Angeles (USA),USA
1508,17:11.52,19 JUL 2014,Eliane Luanda CARDOZO PEREIRA,1,05 JAN 1983,Sao Paulo (BRA),BRA
1509,17:11.58,10 MAY 2014,Meritxell DELGADO,3,,Winona (USA),USA
1510,17:11.74,17 MAY 2014,Kate HOLT,10,07 SEP 1992,Watford (GBR),GBR
1511,17:11.77,15 MAY 2014,Mary KREIGE,9,,Salem (USA),USA
1512,17:11.79,02 MAY 2014,Julie QUINN,2,,Ithaca (USA),USA
1513,17:11.85,17 MAY 2014,Alison GREGGOR,2f1,17 DEC 1987,Oxford (GBR),USA
1514,17:11.88,17 APR 2014,Grace MORGAN,1f2,,Lawrence (USA),USA
1515,17:11.90,22 AUG 2014,Fride VULLUM-BRUER,5,21 FEB 1976,Jessheim (NOR),NOR
1516,17:11.91,04 APR 2014,Kristen BONSOR,1,,Louisville (USA),USA
1516,17:11.91,05 JUN 2014,Yeon-Ah KIM,2,1996,Yeosu (KOR),KOR
1518,17:11.99,12 JUL 2014,Lois RICARDI,2,29 SEP 1984,Tacoma (USA),USA
1519,17:12.16,18 MAY 2014,Erin JOHNSON,19,,Pullman (USA),USA
1520,17:12.20,14 JUL 2014,Olga SHARPOVA,4,25 SEP 1994,Saransk (RUS),RUS
1521,17:12.22,31 MAY 2014,Robin MILDREN,13,1990,Guelph (CAN),CAN
1522,17:12.26,03 AUG 2014,Therese OLIN,11,1983,Umea (SWE),SWE
1523,17:12.28,27 APR 2014,Nebyat ABRAHAM,2,09 JAN 1998,Asmara (ERI),ERI
1524,17:12.44,19 APR 2014,Erin MERCER,23,06 JAN 1991,Chapel Hill (USA),USA
1525,17:12.52,18 APR 2014,Megan ELGIN,5f2,,Princeton (USA),USA
1526,17:12.54,12 APR 2014,Katrina WOODS,12,,Lewisburg (USA),USA
1527,17:12.63,24 APR 2014,Courtney KELLY,22,16 FEB 1990,Philadelphia (USA),USA
1528,17:12.67,21 AUG 2014,Christel VIEBAHN,1,1976,Bergisch Gladbach (GER),GER
1529,17:12.71,08 JUN 2014,Irina SMOLNIKOVA,2,21 JUL 1980,Bishkek (KGZ),KAZ
1530,17:12.83,23 APR 2014,Jung-Sook PARK,2,25 MAR 1980,Yichun (CHN),KOR
1531,17:12.84,06 JUN 2014,Isabel LEIBFRIED,7,10 MAY 1991,Regensburg (GER),GER
1532,17:12.98,18 APR 2014,Jenna MAACK,4f1,,Azusa (USA),USA
1533,17:13.00,19 APR 2014,Beatriz Elena GARCIA,12,22 OCT 1993,Norwalk (USA),MEX
1534,17:13.04,18 APR 2014,Kylie NISHISAKA,26f2,,Walnut (USA),USA
1534,17:13.04,07 JUN 2014,Jessica MINTY,,31 MAY 1984,Boston (USA),USA
1536,17:13.05,18 JUN 2014,Aleksandra GIERAT,2,30 JUL 1991,Toruń (POL),POL
1537,17:13.09,08 JUN 2014,Sarah NAKWERO,2,,Kampala (UGA),UGA
1538,17:13.10,27 JUN 2014,Irina SOMOVA,6,02 JAN 1990,Zhukovskiy (RUS),BLR
1539,17:13.21,04 APR 2014,Sora KLOPFENSTEIN,3f2,,San Francisco (USA),USA
1540,17:13.34,02 MAY 2014,Christine DRISCOLL,3,,Ithaca (USA),USA
1541,17:13.36,15 FEB 2014,Isobel BATT-DOYLE,7,14 SEP 1995,Adelaide (AUS),AUS
1542,17:13.39,01 MAY 2014,Alycia THURSTON,4f2,,Geneva (USA),USA
1543,17:13.40,03 MAY 2014,Nada BALCARCZYK,7,1997,Aichach (GER),GER
1544,17:13.45,18 APR 2014,Colleen LILLIG,15f3,,Walnut (USA),USA
1545,17:13.52,25 APR 2014,Raquel SERNA,16,,Hillsdale (USA),USA
1546,17:13.53,29 MAR 2014,Taylor OSTRANDER,6,07 JUN 1994,Salem (USA),USA
1547,17:13.54,06 JUN 2014,Julia GALUSCHKA,9,1979,Regensburg (GER),GER
1548,17:13.69,04 APR 2014,Claire BENJAMIN,16f1,,San Francisco (USA),USA
1548,17:13.69,04 APR 2014,Paige RANKINE,14,,Gainesville (USA),USA
1550,17:13.72,18 APR 2014,Marina ROBERTS,5f1,,Azusa (USA),USA
1551,17:13.76,26 JUL 2014,Kerstin STEPHAN,16,1975,Ulm (GER),GER
1552,17:13.78,21 MAR 2014,Tristin VAN ORD,1,,Winston Salem (USA),USA
1553,17:13.79,13 JUL 2014,Cuomu CIREN,8f2,27 AUG 1997,Jinan (CHN),CHN
1554,17:13.82,11 JUN 2014,Izabela ZANIEWSKA,7,19 SEP 1988,Łomża (POL),POL
1555,17:13.87,04 JUN 2014,Suvi MIETTINEN,5,12 FEB 1988,Turku (FIN),FIN
1556,17:13.90,24 APR 2014,Haley JOHNSON,22,01 DEC 1993,Des Moines (USA),USA
1557,17:13.96,05 APR 2014,Molly WINTERS,7,,Tuscaloosa (USA),USA
1558,17:14.01,07 FEB 2014,Margaret ATTHOW,3,14 NOV 1984,Brisbane (AUS),AUS
1559,17:14.03,11 OCT 2014,Chiaki NAKAO,3,,Miyazaki (JPN),JPN
1560,17:14.05,28 MAR 2014,Halsey MERRITT,15f2,,Raleigh (USA),USA
1561,17:14.06,04 APR 2014,Peyton THOMAS,15,09 AUG 1995,Gainesville (USA),USA
1562,17:14.10,03 MAY 2014,Barbara BELUŠIĆ,2,05 MAY 1981,Zagreb (CRO),CRO
1563,17:14.23,09 MAY 2014,Chelsea BISHOP,4,08 MAY 1992,Westfield (USA),USA
1564,17:14.28,04 APR 2014,Amelia EVANS,17f1,,San Francisco (USA),USA
1565,17:14.32,12 JUL 2014,Mar&#237;a Luisa LARRAGA,4,10 DEC 1970,Alcorc&#243;n (ESP),ESP
1565,17:14.32,27 SEP 2014,Maria OSORIO,1,30 DEC 1987,Barquisimeto (VEN),VEN
1567,17:14.33,18 APR 2014,Macy BRICKS,17f3,,Walnut (USA),USA
1568,17:14.38,03 AUG 2014,Amanda BOHLIN,12,1989,Umea (SWE),SWE
1569,17:14.39,14 MAR 2014,Valerie SANCHEZ,5f1,,Los Angeles (USA),USA
1570,17:14.45,17 APR 2014,Hannah MAINA,2f2,12 APR 1993,Lawrence (USA),KEN
1571,17:14.47,13 JUL 2014,Jila DAWA,9f2,02 JAN 1998,Jinan (CHN),CHN
1572,17:14.50,19 APR 2014,Sarah HASTINGS,14,,Norwalk (USA),USA
1573,17:14.56,03 MAY 2014,Lavinia JURKIEWICZ,1,,"Columbia, MO (USA)",USA
1574,17:14.61,02 MAY 2014,Sarah EAGAN,2,,Princeton (USA),USA
1575,17:14.63,18 APR 2014,Rachel ZAJAC,18f3,,Walnut (USA),USA
1576,17:14.76,04 APR 2014,Ashley SVEC,2,,Louisville (USA),USA
1577,17:14.88,16 AUG 2014,Kara TAIT,1,21 APR 1988,Kilmarnock (GBR),GBR
1578,17:14.90,28 MAR 2014,Elizabeth O&#39;BRIEN,16f2,14 MAY 1991,Raleigh (USA),USA
1579,17:14.95,05 APR 2014,Nikki BRACERAS,1,,Springfield (USA),USA
1580,17:14.98,02 MAY 2014,Rebecca SKODIS,5,,Ithaca (USA),USA
1581,17:15.04,29 JUN 2014,Angie ORJUELA,3,09 MAY 1989,Medell&#237;n (COL),COL
1582,17:15.05,27 SEP 2014,Yeisy &#193;LVAREZ,2,01 NOV 1984,Barquisimeto (VEN),VEN
1583,17:15.14,14 JUN 2014,Ryen FRAZIER,8f2,14 FEB 1997,Greensboro (USA),USA
1584,17:15.21,27 APR 2014,Erin OSMENT,4,,Spartanburg (USA),USA
1585,17:15.27,14 MAR 2014,Tracee VAN DER WYK,6f1,,Los Angeles (USA),USA
1586,17:15.28,04 JUN 2014,Irina SUDAKOVA,2,27 AUG 1990,Chelyabinsk (RUS),RUS
1587,17:15.29,04 APR 2014,Natalie TANNER,13f1,,Princeton (USA),USA
1588,17:15.30,24 APR 2014,Anna ALDRICH,1f5,,Hillsdale (USA),USA
1589,17:15.36,17 APR 2014,Lydia MATO,3f2,,Lawrence (USA),USA
1590,17:15.38,02 MAY 2014,Sydney WILLIAMS,6,1993,Ithaca (USA),USA
1590,17:15.38,25 MAY 2014,Laura DUNN,5,06 FEB 1989,Vila Real de Santo Ant&#243;nio (POR),GBR
1592,17:15.41,21 MAR 2014,Kayla FREEMAN,1,28 SEP 1992,Irvine (USA),USA
1593,17:15.43,19 SEP 2014,Giuliana CAITI,9,1990,Milano (ITA),ITA
1594,17:15.54,07 JUN 2014,Alexandra VARANKA,,22 SEP 1985,Boston (USA),USA
1595,17:15.62,28 MAR 2014,Karina MANZ,1f4,1991,Raleigh (USA),GER
1595,17:15.62,04 JUN 2014,Şeyma KARAG&#214;Z,4,09 SEP 1987,Izmir (TUR),TUR
1597,17:15.63,11 MAY 2014,Giorgia MORANO,2,1989,Torino (ITA),ITA
1598,17:15.64,28 MAR 2014,Jackline KIPRONO,17f2,,Raleigh (USA),KEN
1598,17:15.64,28 MAY 2014,Christina WALLOCH,19f1,1980,Koblenz (GER),GER
1600,17:15.70,28 MAY 2014,Friederike KALLENBERG,20f1,1983,Koblenz (GER),GER
1601,17:15.81,09 MAY 2014,Emily HUGHES,5,,Westfield (USA),USA
1602,17:15.82,12 APR 2014,Deanna GODBY,13,,Lewisburg (USA),USA
1603,17:15.83,19 JUL 2014,Jolanta LEIPINA,2,17 JUL 1989,Valmiera (LAT),LAT
1604,17:15.95,19 APR 2014,Megan MORGAN,9,,Eugene (USA),USA
1605,17:16.00,04 APR 2014,Caroline REISER,16,,Gainesville (USA),USA
1606,17:16.03,03 MAY 2014,Melissa HAWTIN,4h1,23 FEB 1993,Bedford (GBR),GBR
1607,17:16.05,13 JUL 2014,Suyun LI,16f1,03 SEP 1989,Jinan (CHN),CHN
1608,17:16.08,04 APR 2014,Janae BOTTOMS,18f1,,San Francisco (USA),USA
